Wavelength (nm),Intensity
860.468,8.965
860.723,8.943
860.977,8.949
861.231,8.93
861.485,8.919
861.738,8.84
861.992,8.775
862.245,8.696
862.498,8.647
862.751,8.563
863.004,8.495
863.257,8.438
863.51,8.411
863.762,8.384
864.015,8.395
864.267,8.384
864.519,8.368
864.771,8.314
865.022,8.3
865.274,8.284
865.525,8.295
865.777,8.322
866.028,8.33
866.279,8.303
866.53,8.262
866.78,8.219
867.031,8.162
867.281,8.053
867.531,7.974
867.781,7.863
868.031,7.785
868.281,7.679
868.53,7.649
868.78,7.6
869.029,7.576
869.278,7.527
869.527,7.516
869.776,7.505
870.025,7.513
870.273,7.492
870.521,7.464
870.769,7.451
871.017,7.429
871.265,7.405
871.513,7.367
871.76,7.331
872.008,7.274
872.255,7.212
872.502,7.158
872.749,7.125
872.996,7.085
873.242,7.03
873.488,6.981
873.735,6.962
873.981,6.976
874.227,6.984
874.472,6.981
874.718,6.962
874.963,6.933
875.209,6.922
875.454,6.954
875.699,7
875.943,6.99
876.188,6.922
876.432,6.862
876.677,6.827
876.921,6.824
877.165,6.829
877.408,6.846
877.652,6.854
877.895,6.854
878.139,6.838
878.382,6.827
878.625,6.778
878.868,6.748
879.11,6.699
879.353,6.697
879.595,6.678
879.837,6.661
880.079,6.648
880.321,6.618
880.563,6.588
880.804,6.545
881.045,6.515
881.287,6.485
881.528,6.466
881.768,6.466
882.009,6.469
882.25,6.455
882.49,6.436
882.73,6.433
882.97,6.45
883.21,6.441
883.45,6.417
883.689,6.401
883.929,6.398
884.168,6.39
884.407,6.363
884.646,6.333
884.885,6.311
885.123,6.295
885.362,6.265
885.6,6.262
885.838,6.252
886.076,6.238
886.314,6.192
886.552,6.154
886.789,6.132
887.026,6.121
887.264,6.097
887.501,6.11
887.737,6.138
887.974,6.181
888.211,6.173
888.447,6.135
888.683,6.075
888.92,6.043
889.156,6.029
889.391,6.034
889.627,6.032
889.863,6.037
890.098,6.024
890.333,6.032
890.568,6.04
890.803,6.072
891.038,6.062
891.273,6.075
891.507,6.097
891.741,6.151
891.976,6.146
892.21,6.132
892.444,6.108
892.677,6.086
892.911,6.056
893.145,6.04
893.378,6.045
893.611,6.048
893.844,6.032
894.077,6.024
894.31,6.015
894.543,6.024
894.775,6.007
895.008,5.996
895.24,5.999
895.472,6.04
895.704,6.083
895.936,6.121
896.168,6.138
896.4,6.135
896.631,6.119
896.863,6.083
897.094,6.083
897.325,6.129
897.556,6.184
897.787,6.186
898.018,6.124
898.249,6.083
898.48,6.07
898.71,6.094
898.941,6.124
899.171,6.157
899.401,6.124
899.631,6.089
899.861,6.072
900.091,6.108
900.321,6.11
900.55,6.078
900.78,6.034
901.009,6.043
901.239,6.07
901.468,6.113
901.697,6.119
901.926,6.148
902.155,6.14
902.384,6.086
902.613,6.007
902.842,5.98
903.071,6.018
903.299,6.053
903.528,6.072
903.756,6.097
903.984,6.1
904.213,6.108
904.441,6.086
904.669,6.086
904.897,6.048
905.125,6.037
905.353,6.032
905.581,6.081
905.809,6.091
906.037,6.097
906.264,6.067
906.492,6.062
906.72,6.04
906.947,6.024
907.175,6.002
907.402,5.996
907.63,5.967
907.857,5.939
908.085,5.92
908.312,5.923
908.539,5.904
908.766,5.893
908.994,5.91
909.221,5.975
909.448,6.013
909.675,6.018
909.903,5.988
910.13,5.967
910.357,5.95
910.584,5.942
910.811,5.937
911.038,5.956
911.265,5.988
911.492,6.002
911.72,5.999
911.947,5.991
912.174,6.002
912.401,6.026
912.628,6.037
912.855,6.037
913.083,6.029
913.31,6.048
913.537,6.067
913.764,6.081
913.992,6.089
914.219,6.108
914.446,6.138
914.674,6.148
914.901,6.135
915.129,6.105
915.357,6.075
915.584,6.062
915.812,6.051
916.04,6.075
916.268,6.11
916.495,6.146
916.723,6.151
916.952,6.129
917.18,6.089
917.408,6.034
917.636,5.999
917.865,5.999
918.093,6.021
918.322,6.072
918.551,6.097
918.779,6.105
919.008,6.094
919.237,6.102
919.467,6.091
919.696,6.1
919.925,6.113
920.155,6.176
920.385,6.23
920.614,6.279
920.844,6.295
921.074,6.273
921.305,6.227
921.535,6.184
921.766,6.146
921.997,6.129
922.227,6.116
922.459,6.124
922.69,6.091
922.921,6.04
923.153,5.967
923.385,5.934
923.617,5.92
923.849,5.934
924.082,5.934
924.314,5.95
924.547,5.953
924.78,5.964
925.014,5.975
925.247,5.999
925.481,5.999
925.715,5.977
925.949,5.918
926.184,5.912
926.419,5.923
926.654,5.98
926.889,6.026
927.125,6.07
927.361,6.097
927.597,6.11
927.833,6.081
928.07,6.032
928.307,5.964
928.544,5.934
928.782,5.907
929.02,5.92
929.258,5.939
929.497,5.999
929.736,6.07
929.975,6.151
930.215,6.097
930.455,5.999
930.695,5.891
930.936,5.899
931.177,5.931
931.419,5.991
931.661,6.048
931.903,6.1
932.145,6.119
932.388,6.148
932.632,6.146
932.876,6.116
933.12,6.053
933.365,6.037
933.61,6.062
933.856,6.1
934.102,6.091
934.348,6.072
934.595,6.064
934.843,6.081
935.091,6.097
935.339,6.135
935.588,6.197
935.837,6.29
936.087,6.336
936.337,6.33
936.588,6.29
936.84,6.281
937.092,6.26
937.344,6.224
937.597,6.173
937.851,6.135
938.105,6.119
938.36,6.127
938.615,6.132
938.871,6.129
939.128,6.119
939.385,6.135
939.643,6.143
939.901,6.138
940.16,6.138
940.419,6.162
940.68,6.162
940.941,6.127
941.202,6.094
941.464,6.081
941.727,6.081
941.991,6.081
942.255,6.113
942.52,6.176
942.786,6.243
943.052,6.303
943.319,6.341
943.587,6.365
943.856,6.36
944.125,6.352
944.396,6.314
944.666,6.29
944.938,6.271
945.211,6.3
945.484,6.317
945.758,6.333
946.033,6.311
946.309,6.29
946.585,6.298
946.863,6.333
947.141,6.355
947.42,6.357
947.7,6.371
947.981,6.431
948.263,6.474
948.546,6.493
948.83,6.479
949.114,6.479
949.4,6.482
949.686,6.509
949.974,6.504
950.262,6.512
